,Time Step,Episode,Step in Episode,Shield Loss
587,117600,1343,32,-12.38945156733195
588,117800,1346,98,-25.42811539967855
589,118000,1351,11,-27.14166653951009
590,118200,1353,2,-18.017516644795737
591,118400,1355,29,-15.729630629221598
592,118600,1357,93,-19.690746434529622
593,118800,1359,55,-20.49362144470215
594,119000,1363,65,-21.48899294535319
595,119200,1364,65,-10.860554409027099
596,119400,1366,167,-7.124920296669006
597,119600,1369,45,-19.65795571009318
598,119800,1372,85,-24.130225118001302
599,120000,1374,37,-21.63259359995524
600,120200,1375,196,-25.79911855061849
601,120400,1376,196,-24.735349909464517
602,120600,1377,196,-24.720787239074706
603,120800,1379,73,-19.912538528442383
604,121000,1380,73,-17.80641918182373
605,121200,1382,63,-15.671559715270996
606,121400,1385,36,-23.6307279586792
607,121600,1386,36,-24.838149070739746
608,121800,1387,143,-23.245383135477702
609,122000,1391,67,-20.73319854736328
610,122200,1393,47,-19.553492228190105
611,122400,1396,18,-18.430079142252605
612,122600,1397,18,-11.057598845163982
613,122800,1399,105,-21.235946655273438
614,123000,1403,54,-20.99470615386963
615,123200,1404,122,-22.940419260660807
616,123400,1406,7,-24.8648042678833
617,123600,1407,112,-20.105022048950197
618,123800,1410,11,-10.986835193634032
619,124000,1412,40,-8.012993256251017
620,124200,1414,9,-4.6247196912765505
621,124400,1415,9,-4.331368297338486
622,124600,1417,42,-22.25080261230469
623,124800,1420,34,-16.343565464019775
624,125000,1422,11,-22.16756706237793
625,125200,1423,11,-25.455449358622232
626,125400,1424,11,-38.70370057423909
627,125600,1428,9,-40.437466303507485
628,125800,1429,35,-41.69228350321452
629,126000,1430,89,-35.53389994303385
630,126200,1431,117,-23.651178042093914
631,126400,1433,52,-20.70496514638265
632,126600,1435,72,-9.348684628804525
633,126800,1437,136,-14.507050577799479
634,127000,1438,174,-13.152885818481446
635,127200,1441,54,-15.695041275024414
636,127400,1443,139,-23.617056210835774
637,127600,1444,186,-31.552846018473307
638,127800,1446,152,8.478591156005859
639,128000,1449,87,-17.42286631266276
640,128200,1452,24,-21.24005546569824
641,128400,1454,140,-18.13033612569173
642,128600,1455,173,-25.52599245707194
643,128800,1458,17,-29.181721878051757
644,129000,1460,120,-23.234767723083497
645,129200,1462,36,-29.16564261118571
646,129400,1463,79,-31.210104942321777
647,129600,1464,79,-26.96489601135254
648,129800,1465,79,-25.40249563852946
649,130000,1466,79,-19.19343179066976
650,130200,1468,28,-15.36483481725057
651,130400,1470,111,-22.45922304789225
652,130600,1472,66,-18.69317518870036
653,130800,1475,48,-25.58964595794678
654,131000,1478,11,-24.707133483886718
655,131200,1480,80,-27.94663289388021
656,131400,1483,44,-28.288780403137206
657,131600,1484,44,-32.40691197713216
658,131800,1485,149,-12.657259464263916
659,132000,1486,152,-27.875354703267416
660,132200,1487,152,-28.871816635131836
661,132400,1489,102,-20.824773343404136
662,132600,1490,151,-32.23317686716715
663,132800,1491,151,-41.84809786478679
664,133000,1492,151,-37.442997487386066
665,133200,1493,151,-38.777931213378906
666,133400,1495,119,-33.09103012084961
667,133600,1496,119,-14.996847502390544
668,133800,1499,37,-25.185965220133465
669,134000,1500,37,-26.543003527323403
670,134200,1501,146,-27.221734110514323
671,134400,1503,53,-29.07048091888428
672,134600,1505,32,-27.529646555582683
673,134800,1507,38,-30.680002148946127
674,135000,1509,9,-31.989693450927735
675,135200,1510,9,-14.79459098180135
676,135400,1511,77,-17.639930979410806
677,135600,1513,132,6.885078644752502
678,135800,1514,132,20.96820920308431
679,136000,1515,132,12.297959232330323
680,136200,1516,132,13.903752994537353
681,136400,1517,132,12.460432529449463
682,136600,1518,132,6.28225482304891
683,136800,1519,132,0.14543785949548085
684,137000,1521,79,0.1423991858959198
685,137200,1522,106,-21.9506716410319
686,137400,1523,106,-24.910155232747396
687,137600,1525,29,-13.749548117319742
688,137800,1527,46,-10.881091213226318
689,138000,1530,80,-19.12714614868164
690,138200,1531,139,-20.91864210764567
691,138400,1534,54,-15.929107983907064
692,138600,1535,123,-23.421453348795573
693,138800,1536,123,-10.97919947306315
694,139000,1538,156,-25.516933504740397
695,139200,1539,200,-15.84674431482951
696,139400,1541,132,-32.43544813791911
697,139600,1543,28,-17.139832814534504
698,139800,1544,168,-13.665096791585286
699,140000,1546,25,-6.4776879469553625
700,140200,1547,121,-10.223132387797039
701,140400,1549,11,-10.40211566289266
702,140600,1550,11,-5.551609754562378
703,140800,1551,164,7.333709384997686
704,141000,1552,191,0.6660430312156678
705,141200,1553,198,-26.03784548441569
706,141400,1554,198,-30.579998207092284
707,141600,1555,198,-35.77271842956543
708,141800,1558,63,-25.332088788350422
709,142000,1561,13,-17.204966926574706
710,142200,1562,13,-17.33870814641317
711,142400,1564,49,-17.85146280924479
712,142600,1566,17,-24.47795912424723
713,142800,1567,17,-29.510700225830078
714,143000,1568,17,-27.014285151163737
715,143200,1569,17,-18.063365968068442
716,143400,1570,74,-30.471483739217124
717,143600,1572,10,-26.74518216451009
718,143800,1573,29,-28.56751251220703
719,144000,1575,56,-26.506665865580242
720,144200,1576,164,-19.412897300720214
721,144400,1579,99,-28.982917658487956
722,144600,1580,128,-29.20364990234375
723,144800,1582,11,-29.134869893391926
724,145000,1583,11,-28.575921885172527
725,145200,1584,11,-31.29038473765055
726,145400,1585,114,-21.64334405263265
727,145600,1588,63,-20.04368330637614
728,145800,1589,63,-13.007086817423502
729,146000,1593,86,-13.765271949768067
730,146200,1595,65,-17.136676597595216
731,146400,1596,93,-23.212018140157063
732,146600,1598,75,-26.025124422709148
733,146800,1599,75,-6.940535926818848
734,147000,1602,82,-21.15955047607422
735,147200,1604,109,-32.597334225972496
736,147400,1605,109,-31.65464693705241
737,147600,1606,147,-20.46909319559733
738,147800,1607,171,-23.306785837809244
739,148000,1609,47,-19.071436246236164
740,148200,1611,23,-14.218803946177164
741,148400,1614,68,-15.814424864451091
742,148600,1616,13,-30.437345631917317
743,148800,1617,106,-25.962375450134278
744,149000,1618,106,-14.21709311803182
745,149200,1620,38,-19.195168495178223
746,149400,1621,190,-3.471296325325966
747,149600,1623,163,-11.38954890569051
748,149800,1625,32,-13.917484887440999
749,150000,1626,32,-21.26781972249349
750,150200,1627,32,-24.846360651652017
